date,-announcements,-events,-introductions,-open-discussion,-topics-in-data-viz,audience-kids,audience-scientists,connect-academia,connect-freelance,connect-gov-civic,connect-hr-analytics,connect-journalism,connect-meetup-leads,connect-newbie,connect-nonprofit,connect-speaking,connect-team-up,dvs-chapter-thinkers,dvs-com-tech,dvs-suggestions,help-code,help-design,help-general,help-slack,location-africa,location-apac,location-atlanta,location-canada,location-chicago,location-dc,location-europe,location-newengland,location-nyc,location-seattle,location-uk,share-critique,share-inspiration,share-showcase,spanish-general,topic-accessibility,topic-best-practices,topic-career-advice,topic-data-art,topic-data-literacy,topic-data-processing,topic-data-resources,topic-dynamic-data,topic-health,topic-historical-viz,topic-interactivity,topic-machine-learnin,topic-mapping,topic-networks,topic-research,topic-sports-viz,topic-storytelling,topic-teaching,topic-temporal,topic-terminology,topic-text-analytics,topic-weather-climate,topic-xenographics
2019-02-25,"175,5,0,0,0","447,7,1,1,1","2671,10,7,54,0","0,0,0,0,0","175,5,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","175,5,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","3513,26,0,14,0","0,0,0,0,0","175,5,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-02-26,"35,1,0,0,0","1020,4,3,4,0","696,4,2,7,0","0,0,0,0,0","1169,4,5,6,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","35,1,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","2766,12,5,16,0","0,0,0,0,0","5779,7,25,56,3","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-02-27,"1580,15,7,24,0","557,12,1,0,0","13311,31,46,309,6","0,0,0,0,0","2519,14,7,14,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","1260,12,6,15,2","0,0,0,0,0","0,0,0,0,0","1150,19,2,1,0","1558,25,0,9,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","755,13,0,20,0","1674,19,9,19,2","6979,22,32,84,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","3790,27,20,11,8","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-02-28,"2535,16,13,24,1","150,0,1,0,0","62792,100,177,1253,36","0,0,0,0,0","18082,17,54,151,3","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","6006,11,28,64,0","0,0,0,0,0","0,0,0,0,0","4323,2,15,36,2","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","1184,16,4,6,1","8001,2,18,35,1","3280,10,20,47,10","2910,3,25,25,2","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","834,18,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","4361,17,16,4,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","473,11,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-03-01,"6782,11,31,166,7","0,0,0,0,0","76753,100,307,1143,38","0,0,0,0,0","12966,7,36,71,5","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","2189,26,7,17,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","10422,12,60,79,2","0,0,0,0,0","0,0,0,0,0","8119,7,45,53,14","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","315,9,0,0,0","4071,1,12,5,0","868,5,3,28,4","6550,14,29,97,13","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","569,5,2,2,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","5060,11,21,32,5","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","1446,12,6,8,2","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-03-02,"1359,7,1,4,0","632,3,0,10,3","41007,36,172,507,35","0,0,0,0,0","5801,1,15,27,3","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","931,1,2,7,0","1990,28,6,11,2","0,0,0,0,0","0,0,0,0,0","875,21,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","7356,9,42,61,2","0,0,0,0,0","0,0,0,0,0","2676,1,11,16,4","227,2,1,17,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","371,9,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","35,1,0,0,0","541,0,2,2,0","3842,4,8,83,3","1944,9,13,105,3","0,0,0,0,0","1129,23,0,17,0","2259,33,13,34,0","1219,3,6,26,2","0,0,0,0,0","2805,26,2,12,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","5411,5,22,11,3","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","370,1,1,9,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-03-03,"2687,5,9,31,2","93,1,0,1,0","55889,40,216,539,26","0,0,0,0,0","6418,0,17,15,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","288,0,2,1,0","116,0,1,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","7662,8,65,118,2","0,0,0,0,0","0,0,0,0,0","1182,1,10,0,1","36,0,1,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","658,12,1,9,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","70,2,0,0,0","6763,2,14,27,0","2534,4,12,45,2","3554,5,20,77,1","0,0,0,0,0","1514,2,6,3,1","3015,3,26,19,5","4320,4,17,17,4","0,0,0,0,0","1304,1,9,8,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","3517,5,24,14,3","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","3824,5,27,13,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-03-04,"5818,8,27,137,2","1914,4,4,24,3","61135,93,238,1275,42","0,0,0,0,0","3380,2,10,18,2","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","1156,3,7,15,2","8061,3,15,14,2","0,0,0,0,0","0,0,0,0,0","1689,4,1,0,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","9731,8,64,123,1","0,0,0,0,0","0,0,0,0,0","6408,6,25,22,7","421,3,2,9,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","2062,13,4,28,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","959,3,2,4,3","10139,3,24,60,1","4716,6,25,42,6","10513,14,59,152,9","0,0,0,0,0","1086,2,1,7,0","2015,5,6,23,5","925,2,9,3,2","0,0,0,0,0","136,0,2,4,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","2433,6,9,30,2","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","972,1,7,9,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-03-05,"8575,17,63,229,1","2315,6,9,17,1","39905,74,129,904,31","0,0,0,0,0","546,0,3,1,0","0,0,0,0,0","0,0,0,0,0","1594,29,1,16,0","0,0,0,0,0","827,0,3,6,3","0,0,0,0,0","0,0,0,0,0","1495,2,4,3,2","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","10213,14,58,125,5","0,0,0,0,0","0,0,0,0,0","14666,8,55,47,14","917,2,9,53,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","1456,27,1,8,3","591,2,2,14,0","476,12,0,2,1","0,0,0,0,0","0,0,0,0,0","2022,35,6,26,1","0,0,0,0,0","2029,8,10,19,1","16555,7,58,47,8","7967,12,40,99,11","10439,13,46,97,10","0,0,0,0,0","245,1,0,2,1","2068,5,5,26,5","4999,3,8,31,2","0,0,0,0,0","2470,3,10,20,2","0,0,0,0,0","822,21,0,2,0","0,0,0,0,0","0,0,0,0,0","15089,17,127,60,7","0,0,0,0,0","0,0,0,0,0","2191,25,6,7,3","0,0,0,0,0","0,0,0,0,0","1142,22,0,5,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","854,0,5,1,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-03-06,"1163,8,0,157,3","531,1,1,4,0","32187,41,130,413,9","0,0,0,0,0","2918,4,13,31,1","0,0,0,0,0","0,0,0,0,0","3932,6,8,14,3","0,0,0,0,0","2150,3,9,3,1","0,0,0,0,0","1241,24,0,9,0","1015,1,4,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","10466,20,61,137,4","0,0,0,0,0","0,0,0,0,0","5935,3,21,15,6","1084,1,10,20,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","715,7,3,8,1","0,0,0,0,0","873,12,3,9,1","4935,33,10,33,0","4524,20,9,15,0","6657,14,36,94,4","426,10,0,0,0","619,2,3,6,0","17363,2,89,53,3","9548,18,58,73,10","4718,6,21,36,2","0,0,0,0,0","142,1,0,5,1","1938,1,8,5,2","2934,3,13,9,1","0,0,0,0,0","315,1,1,9,1","0,0,0,0,0","3172,5,9,27,5","0,0,0,0,0","0,0,0,0,0","3251,4,15,33,3","0,0,0,0,0","0,0,0,0,0","3845,8,3,22,1","0,0,0,0,0","0,0,0,0,0","1194,8,6,16,2","0,0,0,0,0","9384,68,5,175,2","0,0,0,0,0","820,1,7,5,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-03-07,"1698,7,3,76,2","585,2,2,7,2","19354,27,70,241,5","854,24,0,3,0","4738,2,3,6,1","0,0,0,0,0","0,0,0,0,0","1419,4,4,22,2","165,0,1,0,0","2527,1,8,6,2","0,0,0,0,0","1716,3,4,3,1","35,1,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","4219,7,32,77,1","0,0,0,0,0","0,0,0,0,0","4462,2,17,7,4","2763,2,9,5,2","0,0,0,0,0","2112,29,1,10,0","0,0,0,0,0","927,4,5,12,0","935,5,4,9,2","121,1,0,2,1","8533,22,36,88,4","4241,14,18,17,0","13386,16,59,134,7","2091,10,3,11,1","1697,3,12,11,3","3349,1,11,6,0","6158,10,45,87,11","6652,12,28,193,9","622,12,0,0,0","1011,0,5,0,1","3212,3,22,39,2","442,0,3,0,0","1063,24,0,9,1","0,0,0,0,0","0,0,0,0,0","1768,3,2,11,2","0,0,0,0,0","0,0,0,0,0","11607,14,64,46,6","0,0,0,0,0","0,0,0,0,0","305,1,1,1,0","0,0,0,0,0","0,0,0,0,0","5953,6,24,25,6","0,0,0,0,0","4662,5,21,30,2","0,0,0,0,0","765,1,11,6,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0"
2019-03-08,"264,2,1,0,0","334,2,1,6,2","18330,23,53,271,9","1475,8,4,17,2","3439,5,1,47,0","0,0,0,0,0","0,0,0,0,0","11405,6,21,14,4","775,2,4,6,1","227,0,2,0,0","0,0,0,0,0","0,0,0,0,0","746,4,4,2,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","3641,8,16,28,1","0,0,0,0,0","0,0,0,0,0","5802,4,31,19,2","107,0,2,1,0","0,0,0,0,0","1515,8,3,6,0","0,0,0,0,0","447,4,2,14,1","35,1,0,0,0","0,0,0,0,0","698,3,2,9,1","2934,2,13,8,0","8175,9,43,41,7","70,2,0,0,0","111,1,2,2,1","6039,2,25,5,3","4778,8,26,46,10","2384,3,13,14,2","1839,18,2,3,0","1475,1,7,4,0","10195,4,46,25,9","3462,1,11,33,0","11815,26,37,51,20","2506,6,4,9,0","0,0,0,0,0","1254,0,1,1,0","0,0,0,0,0","0,0,0,0,0","8836,5,34,40,2","0,0,0,0,0","0,0,0,0,0","2788,4,8,16,2","4435,30,15,9,12","0,0,0,0,0","2515,3,8,2,3","0,0,0,0,0","9276,7,29,25,7","0,0,0,0,0","0,0,0,0,0","9387,33,24,25,4","0,0,0,0,0","0,0,0,0,0"
2019-03-09,"152,1,0,4,0","364,1,0,6,1","5165,8,26,89,0","2219,2,8,15,1","800,0,4,1,0","0,0,0,0,0","0,0,0,0,0","87,1,0,0,1","0,0,0,0,0","355,1,2,3,1","0,0,0,0,0","408,0,4,0,0","663,1,2,1,1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","3534,1,15,6,1","0,0,0,0,0","0,0,0,0,0","7061,3,19,11,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","501,4,2,16,0","0,0,0,0,0","181,2,1,1,5","1513,1,5,7,0","461,1,3,1,0","35,1,0,0,0","70,1,0,4,0","3183,3,8,3,1","2249,4,9,21,3","10,0,1,0,0","692,1,0,3,0","518,0,2,4,0","7147,1,19,22,0","95,0,1,2,0","868,3,5,8,1","1564,0,4,4,0","0,0,0,0,0","881,0,5,0,0","0,0,0,0,0","0,0,0,0,0","7685,6,44,11,5","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","640,1,2,12,0","0,0,0,0,0","155,0,4,3,0","37,0,1,0,0","0,0,0,0,0","0,0,0,0,0"
