Index,Unified Technology Name,dist1995,dist1996,dist1997,dist1998,dist1999,dist2000,dist2001,dist2002,dist2003,dist2004,dist2005,dist2006,dist2007,dist2008,dist2009,dist2010,dist2011,dist2012,dist2013,dist2014,dist2015,dist2016,dist2017,dist2018,dist2019,time1995,time1996,time1997,time1998,time1999,time2000,time2001,time2002,time2003,time2004,time2005,time2006,time2007,time2008,time2009,time2010,time2011,time2012,time2013,time2014,time2015,time2016,time2017,time2018,time2019,name1995,name1996,name1997,name1998,name1999,name2000,name2001,name2002,name2003,name2004,name2005,name2006,name2007,name2008,name2009,name2010,name2011,name2012,name2013,name2014,name2015,name2016,name2017,name2018,name2019,Technology Category
82,WS-Enabled Business Models,,,,,,,,,0.425,0.475,0.565,,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,,Web-Services-Enabled Business Models,Web-Services-Enabled Business Models,WS-Enabled Business Models,,,,,,,,,,,,,,,Methodology
83,Tablet PCs,,,,,,,,,0.415,0.58,0.645,0.63,0.675,0.71,0.71,0.96,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,2T5,INTP,2T5,2T5,LT2,,,,,,,,,,,,,,,,,,Tablet PC,Tablet PCs,Tablet PCs,Tablet PCs,,Tablet PCs,Tablet PCs,Pen-Centric Tablet PCs,,,,,,,,,,Mobile Technology
84,OLED/Light Emitting Polymers,,,,,,,,,0.395,0.405,0.53,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,Light Emitting Polymers,OLEDs-Light Emitting Polymers,OLEDs,,,,,,,,,,,,,,,Display Technology
85,Unified Communications,,,,,,,,,0.26,0.345,,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,,Unified Communications,Unified Communications,,,,,,,,,,,,,,,,Methodology
86,Mesh Networks - Sensors/WA,,,,,,,,,0.23,0.49,0.55,0.6,0.39,0.42,0.45,0.465,0.48,0.49,0.55,,,,,,,,,,,,,,,2T5,5T10,2T5,GT10,GT10,INTP,GT10,GT10,GT10,GT10,GT10,,,,,,,,,,,,,,,Mesh Networks,Mesh Networks - Sensors/Wide Area,Mesh Networks - Sensors,Mesh Networks - Sensors,Mesh Networks Sensors,,Mesh Networks - Sensors,Mesh Networks - Sensors,Mesh Networks - Sensors,Mesh Networks - Sensors,Mesh Networks - Sensors,,,,,,,Sensing/Tracking
87,Trusted Computing Platforms,,,,,,,,,0.205,0.151,0.58,,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,,Trusted Computing Platforms,Trusted Computing Group,Trusted Computing Group,,,,,,,,,,,,,,,Cyber Security
88,Info Extraction/Text Mining,,,,,,,,,0.14,0.2,0.2,0.24,0.314,0.3757142857,0.435,0.4928571429,0.5514285714,0.61,,,,,,,,,,,,,,,,5T10,5T10,5T10,INTP,INTP,INTP,INTP,INTP,INTP,2T5,,,,,,,,,,,,,,,,Information Extraction,Information Extraction,Text Mining,,,,,,,Text Analytics,,,,,,,,Analytics
89,4G Networks,,,,,,,,,0.075,0.0925,0.11,0.154,0.198,0.242,0.286,0.33,,,,,,,,,,,,,,,,,,GT10,INTP,5T10,INTP,INTP,INTP,INTP,5T10,,,,,,,,,,,,,,,,,,Fourth Generation Wireless Technology,,4G,,,,,4G Standard,,,,,,,,,,Networking Technology
90,Ultrawideband/WiMedia,,,,,,,,,0.04,0.355,,,,,,,,,,,,,,,,,,,,,,,,5T10,2T5,,,,,,,,,,,,,,,,,,,,,,,,Ultrawideband,Ultrawideband - 802.15.3a/WiMedia,,,,,,,,,,,,,,,,Wireless Technology
91,Smart Dust,,,,,,,,,0.015,0.0155,0.016,0.0165,0.017,0.0175,0.018,0.0185,0.019,0.0195,0.02,0.035,0.03,0.025,0.02,0.055,,,,,,,,,,GT10,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,GT10,INTP,GT10,GT10,GT10,GT10,,,,,,,,,,Smart Dust,,,,,,,,,,Smart Dust,,Smart Dust,Smart Dust,Smart Dust,Smart Dust,,Sensing/Tracking
92,802.15.4/Zigby,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,5T10,,,,,,,,,,,,,,,,,,,,,,,,,802.15.4/Zigby,,,,,,,,,,,,,,,,,Wireless Technology
93,Instant Messaging,,,,,,,,,,0.985,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,Instant Messaging,,,,,,,,,,,,,,,,Communications
94,Internal MPP Grids,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,Internal MPP Grids,,,,,,,,,,,,,,,,Computer Architecture
95,RFID (case/pallet),,,,,,,,,,0.54,0.54,0.535,0.59,0.62,0.64,,,,,,,,,,,,,,,,,,,,5T10,INTP,5T10,5T10,5T10,5T10,,,,,,,,,,,,,,,,,,,,RFID (case/pallet),,RFID (case/pallet),RFID (case/pallet),RFID (case/pallet),RFID (case/pallet),,,,,,,,,,,Sensing/Tracking
96,RSS (Really Simple Syndication),,,,,,,,,,0.44,0.45,,,,,,,,,,,,,,,,,,,,,,,,LT2,LT2,,,,,,,,,,,,,,,,,,,,,,,,RSS (Really Simple Syndication),RSS (Really Simple Syndication),,,,,,,,,,,,,,,Web Technology
97,Service Oriented Architecture,,,,,,,,,,0.415,0.61,0.64,0.695,0.765,0.82,,,,,,,,,,,,,,,,,,,,2T5,2T5,INTP,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,SOA (Service-Oriented Architecture),SOA (Service-Oriented Architecture),,SOA (Service-Oriented Architecture),SOA (Service-Oriented Architecture),SOA (Service-Oriented Architecture),,,,,,,,,,,Software Architecture
98,802.16 WiMAX,,,,,,,,,,0.33,0.51,,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,,802.16d WiMAX,802.16 2004 WiMAX,,,,,,,,,,,,,,,Wireless Technology
99,Speech Recognition (Mobile),,,,,,,,,,0.285,0.31,0.315,,,,,,,,,,,,,,,,,,,,,,,2T5,INTP,2T5,,,,,,,,,,,,,,,,,,,,,,,Speech Recognition for Mobile Devices,,Speech Recognition (Mobile),,,,,,,,,,,,,,Human-Computer Interface
100,Social Network Analysis,,,,,,,,,,0.23,0.32,0.39,0.565,0.675,0.67,,,,,,,,,,,,,,,,,,,,5T10,INTP,LT2,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,Social Network Analysis,,Social Network Analysis,Social Network Analysis,Social Network Analysis,Social Network Analysis,,,,,,,,,,,Analytics
101,Wikis,,,,,,,,,,0.211,0.52,0.57,0.61,0.685,0.73,,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,Wikis,Wikis,Wikis,Wikis,Wikis,Wikis,,,,,,,,,,,Web Technology
102,Augmented Reality,,,,,,,,,,0.175,0.19,0.17,0.19,0.205,0.23,0.29,0.365,0.39,0.5,0.52,0.565,0.595,0.615,0.625,,,,,,,,,,,GT10,5T10,GT10,INTP,GT10,5T10,5T10,5T10,5T10,5T10,5T10,5T10,5T10,5T10,5T10,,,,,,,,,,,Augmented Reality,Augmented Reality,Augmented Reality,,Augmented Reality,Augmented Reality,Augmented Reality,Augmented Reality,Augmented Reality,Augmented Reality,Augmented Reality,Augmented Reality,Augmented Reality,Augmented Reality,Augmented Reality,,Human-Computer Interface
103,RFID (Item),,,,,,,,,,0.14,0.29,0.44,0.53,,,,,,,,,,,,,,,,,,,,,,GT10,INTP,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,RFID (Item),,RFID (Item),RFID (Item),,,,,,,,,,,,,Sensing/Tracking
104,Truth Verification,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,GT10,,,,,,,,,,,,,,,,,,,,,,,,,Truth Verification,,,,,,,,,,,,,,,,Cyber Security
105,Computer/Brain Interfaces,,,,,,,,,,0.045,0.0475,0.0565,0.0575,0.06166666667,0.06833333333,0.075,0.095,0.1075,0.12,0.105,0.145,0.21,0.23,0.3025,,,,,,,,,,,GT10,INTP,INTP,INTP,INTP,INTP,GT10,GT10,INTP,GT10,GT10,GT10,GT10,GT10,GT10,,,,,,,,,,,Computer-Brain Interfaces/Thought Recognition,,,,,,Computer/Brain Interface,Computer/Brain Interface,,Brain-Computer Interface,Brain-Computer Interface,Brain-Computer Interface,Brain-Computer Interface,Brain-Computer Interface,Brain-Computer Interface,,Human-Computer Interface
106,DNA Logic,,,,,,,,,,0.005,0.027,0.0265,,,,,,,,,,,,,,,,,,,,,,,GT10,GT10,GT10,,,,,,,,,,,,,,,,,,,,,,,Protein-DNA Logic,DNA Logic,DNA Logic,,,,,,,,,,,,,,Computer Architecture
107,Business Rule Engines,,,,,,,,,,,0.825,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,Business Rule Engines,,,,,,,,,,,,,,,Software Architecture
108,Location-Aware Apps,,,,,,,,,,,0.755,0.76,0.765,0.805,0.805,0.88,0.955,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,2T5,2T5,2T5,LT2,,,,,,,,,,,,,,,,,,,Location-aware Applications,Location-aware Applications,Location-aware Applications,Location-aware Applications,Location-aware Applications,Location-aware Applications,Location-aware Applications,,,,,,,,,Mobile Technology
109,Corporate Blogging,,,,,,,,,,,0.49,0.58,0.62,0.645,0.77,,,,,,,,,,,,,,,,,,,,,LT2,LT2,INTP,LT2,LT2,,,,,,,,,,,,,,,,,,,,,Corporate Blogging,Corporate Blogging,,Corporate Blogging,Corporate Blogging,,,,,,,,,,,Communications
110,Desktop Search,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,Desktop Search,,,,,,,,,,,,,,,Information Technology
111,BPM Suites,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,BPM Suites,,,,,,,,,,,,,,,Software Architecture
112,Biometric Identity Docs,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,GT10,,,,,,,,,,,,,,,,,,,,,,,,,Biometric Identity Docs,,,,,,,,,,,,,,,Cyber Security
113,P2P VoIP,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,P2P VoIP,,,,,,,,,,,,,,,Communications
114,Inkjet Manufacturing/3D Printing,,,,,,,,,,,0.3,0.285,0.28,0.255,0.26,0.25,0.275,0.335,0.715,0.765,0.785,,,,,,,,,,,,,,,5T10,INTP,5T10,5T10,5T10,5T10,5T10,5T10,2T5,2T5,2T5,,,,,,,,,,,,,,,Inkjet Manufacturing,,3D Printing,3D Printing,3D Printing,3D Printing,3D Printing,3D Printing,Enterprise 3D Printing,Enterprise 3D Printing,Enterprise 3D Printing,,,,,Manufacturing
115,Model-driven Architectures,,,,,,,,,,,0.24,0.25,,,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,,,Model-driven Approaches,Model-driven Architectures,,,,,,,,,,,,,,Methodology
116,Carbon Nanotubes,,,,,,,,,,,0.23,0.2675,0.27,0.2803846154,0.2888461538,0.2973076923,0.3057692308,0.3142307692,0.325,0.33,0.3396153846,0.351,0.355,0.365,,,,,,,,,,,,GT10,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,INTP,5T10,,,,,,,,,,,,Carbon Nanotubes,,,,,,,,,,,,,Carbon Nanotubes,,Manufacturing
117,Podcasting,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,Podcasting,,,,,,,,,,,,,,,Communications
118,Business Process Platforms,,,,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,5T10,,,,,,,,,,,,,,,,,,,,,,,,,Business Process Networks,,,,,,,,,,,,,,,Methodology
119,Corporate Semantic Web,,,,,,,,,,,0.145,0.305,,,,,,,,,,,,,,,,,,,,,,,,2T5,5T10,,,,,,,,,,,,,,,,,,,,,,,,Corporate Semantic Web,Corporate Semantic Web,,,,,,,,,,,,,,Software Architecture
120,Prediction Markets,,,,,,,,,,,0.075,0.16,,,,,,,,,,,,,,,,,,,,,,,,GT10,5T10,,,,,,,,,,,,,,,,,,,,,,,,Prediction Markets,Prediction Markets,,,,,,,,,,,,,,Analytics
121,Networked Collective Intelligence,,,,,,,,,,,0.06,0.23,0.3075,,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,,Networked Collective Intelligence,Collective Intelligence,Collective Intelligence,,,,,,,,,,,,,Artificial Intelligence
122,AJAX,,,,,,,,,,,,0.515,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,AJAX,,,,,,,,,,,,,,Web Technology
123,Folksonomies,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,Folksonomies,,,,,,,,,,,,,,Methodology
124,Web 2.0,,,,,,,,,,,,0.345,0.495,0.555,0.68,,,,,,,,,,,,,,,,,,,,,,LT2,LT2,LT2,LT2,,,,,,,,,,,,,,,,,,,,,,Web 2.0,Web 2.0,Web 2.0,Web 2.0,,,,,,,,,,,Web Technology
125,Mashups,,,,,,,,,,,,0.335,0.3375,,,,,,,,,,,,,,,,,,,,,,,,LT2,LT2,,,,,,,,,,,,,,,,,,,,,,,,Mashup,Mashup,,,,,,,,,,,,,Web Technology
126,IP v6,,,,,,,,,,,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,5T10,,,,,,,,,,,,,,,,,,,,,,,,,IP v6,,,,,,,,,,,,,,Networking Technology
127,RSS Enterprise,,,,,,,,,,,,0.275,0.58,,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,,RSS Enterprise,RSS Enterprise,,,,,,,,,,,,,Web Technology
128,Event Driven Architecture,,,,,,,,,,,,0.215,,,,,,,,,,,,,,,,,,,,,,,,,5T10,,,,,,,,,,,,,,,,,,,,,,,,,Event Driven Architecture,,,,,,,,,,,,,,Methodology
129,Video Telepresence,,,,,,,,,,,,0.2,0.3,0.405,0.425,0.55,,,,,,,,,,,,,,,,,,,,,GT10,2T5,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,,Telepresence,Video Telepresence,Video Telepresence,Video Telepresence,Video Telepresence,,,,,,,,,,Communications
130,Speech-to-Speech Translation,,,,,,,,,,,,0.19,0.2,0.23,0.25,0.26,0.245,0.265,0.29,0.315,0.365,,,,,,,,,,,,,,,,5T10,INTP,INTP,INTP,5T10,5T10,5T10,5T10,5T10,2T5,,,,,,,,,,,,,,,,Speech-to-Speech Translation,,,,Speech-to-Speech Translation,Speech-to-Speech Translation,Speech-to-Speech Translation,Speech-to-Speech Translation,Speech-to-Speech Translation,Speech-to-Speech Translation,,,,,Human-Computer Interface
131,Offline AJAX,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,Offline AJAX,,,,,,,,,,,,,,Web Technology
132,Tera-architectures,,,,,,,,,,,,0.0365,0.0275,,,,,,,,,,,,,,,,,,,,,,,,GT10,GT10,,,,,,,,,,,,,,,,,,,,,,,,Tera-architectures,Tera-architectures,,,,,,,,,,,,,Computer Architecture
133,Idea Management,,,,,,,,,,,,,0.465,0.665,0.7,0.69,0.73,0.825,,,,,,,,,,,,,,,,,,,,5T10,2T5,2T5,2T5,2T5,LT2,,,,,,,,,,,,,,,,,,,,Idea Management,Idea Management,Idea Management,Idea Management,Idea Management,Idea Management,,,,,,,,Methodology
134,Virtual Worlds/Environments,,,,,,,,,,,,,0.345,0.545,0.61,0.645,0.64,0.665,,,,,,,,,,,,,,,,,,,,5T10,2T5,2T5,5T10,5T10,5T10,,,,,,,,,,,,,,,,,,,,Virtual Worlds/Environments,Public Virtual Worlds,Public Virtual Worlds,Public Virtual Worlds,Virtual Worlds,Virtual Worlds,,,,,,,,Platforms
135,Gesture Recognition/Control,,,,,,,,,,,,,0.33,0.365,0.4025,0.44,0.445,0.5,0.69,0.7,0.73,0.26,,,,,,,,,,,,,,,,5T10,INTP,INTP,2T5,2T5,2T5,2T5,2T5,2T5,5T10,,,,,,,,,,,,,,,,Gesture Recognition,,,Gesture Recognition,Gesture Recognition,Gesture Control,Gesture Control,Gesture Control,Gesture Control,Gesture Control Devices,,,,Human-Computer Interface
136,Expertise Location & Management,,,,,,,,,,,,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,Expertise Location & Management,,,,,,,,,,,,,Methodology
137,Content Analytics,,,,,,,,,,,,,0.29,0.315,0.32,0.335,0.35,0.365,0.38,0.45,,,,,,,,,,,,,,,,,,2T5,INTP,INTP,INTP,INTP,INTP,5T10,2T5,,,,,,,,,,,,,,,,,,Content Analytics,,,,,,Content Analytics,Content Analytics,,,,,,Analytics
138,Portable Personality,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,Portable Personality,,,,,,,,,,,,,Human-Computer Interface
139,Web Platforms,,,,,,,,,,,,,0.24,0.3,0.34,0.38,0.58,,,,,,,,,,,,,,,,,,,,,2T5,INTP,INTP,2T5,2T5,,,,,,,,,,,,,,,,,,,,,Web Platforms,,,Cloud Web Platforms,Cloud Web Platforms,,,,,,,,,Web Technology
140,Ambient/Glanceable Displays,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,5T10,,,,,,,,,,,,,,,,,,,,,,,,,Ambient/Glanceable Displays,,,,,,,,,,,,,Human-Computer Interface
141,Mobile Robots/Smart Robots,,,,,,,,,,,,,0.175,0.19,0.21,0.21,0.215,0.22,0.28,0.175,0.185,0.29,0.295,0.285,,,,,,,,,,,,,,GT10,GT10,GT10,GT10,GT10,GT10,5T10,5T10,5T10,5T10,5T10,5T10,,,,,,,,,,,,,,Mobile Robots,Mobile Robots,Mobile Robots,Mobile Robots,Mobile Robots,Mobile Robots,Mobile Robots,Smart Robots,Smart Robots,Smart Robots,Smart Robots,Smart Robots,,Physical Actuation
142,Behavioral Economics,,,,,,,,,,,,,0.16,0.16,0.2,,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,GT10,,,,,,,,,,,,,,,,,,,,,,,Behavioral Economics,Behavioral Economics,Behavioral Economics,,,,,,,,,,,Methodology
143,Virtual Assistants,,,,,,,,,,,,,,0.61,0.62,0.63,0.405,0.41,0.43,0.025,0.04,0.22,0.325,0.385,,,,,,,,,,,,,,,5T10,INTP,5T10,5T10,INTP,2T5,5T10,5T10,5T10,5T10,2T5,,,,,,,,,,,,,,,Virtual Assistants,,Virtual Assistants,Virtual Assistants,,Virtual Assistants,Virtual Personal Assistants,Virtual Personal Assistants,Virtual Personal Assistants,Virtual Assistants,Virtual Assistants,,Human-Computer Interface
144,Service Oriented Business Apps,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,Service Oriented Business Applications,,,,,,,,,,,,Web Technology
145,Solid State Drives,,,,,,,,,,,,,,0.465,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,Solid-State Drives,,,,,,,,,,,,Computer Architecture
146,Social Computing Platforms,,,,,,,,,,,,,,0.39,0.38,,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,,Social Computing Platforms,Social Software Suites,,,,,,,,,,,Software Architecture
147,Green IT,,,,,,,,,,,,,,0.325,0.415,,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,,Green IT,Green IT,,,,,,,,,,,Energy Technology
148,Microblogging,,,,,,,,,,,,,,0.27,0.39,0.505,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,Microblogging,Microblogging,Microblogging,,,,,,,,,,Communications
149,Cloud Computing,,,,,,,,,,,,,,0.2375,0.33,0.365,0.375,0.47,0.58,0.61,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,2T5,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,Cloud Computing,Cloud Computing,Cloud Computing,Cloud Computing,Cloud Computing,Cloud Computing,Cloud Computing,,,,,,Computer Architecture
150,Surface Computers,,,,,,,,,,,,,,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,,,Surface Computers,Surface Computers,,,,,,,,,,,Computer Architecture
151,Context Delivery Services,,,,,,,,,,,,,,0.03,0.06,0.065,0.255,0.23,0.197,0.165,0.125,0.11,,,,,,,,,,,,,,,,,5T10,5T10,5T10,5T10,INTP,INTP,INTP,INTP,5T10,,,,,,,,,,,,,,,,,Context Delivery Architectures,Context Delivery Architecture,Context Delivery Architectures,Context-Enriched Services,,,,,Context Brokering,,,,Methodology
152,Erasable Paper Printing Systems,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,GT10,,,,,,,,,,,,,,,,,,,,,,,,,Erasable Paper Printing Systems,,,,,,,,,,,,Information Technology
153,Home Health Monitoring,,,,,,,,,,,,,,,0.58,0.6,0.62,0.64,,,,,,,,,,,,,,,,,,,,,,5T10,INTP,INTP,5T10,,,,,,,,,,,,,,,,,,,,,,Home Health Monitoring,,,Home Health Monitoring,,,,,,,,Sensing/Tracking
154,IP Video/Internet Video,,,,,,,,,,,,,,,0.535,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,Online Video,,,,,,,,,,,Platforms
155,ebook readers,,,,,,,,,,,,,,,0.35,0.54,0.66,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,LT2,,,,,,,,,,,,,,,,,,,,,,,E-Book Readers,E-Book Readers,E-Book Readers,,,,,,,,,Mobile Technology
156,Wireless Power,,,,,,,,,,,,,,,0.305,0.3125,0.325,0.325,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,Wireless Power,Wireless Power,Wireless Power,Wireless Power,,,,,,,,Energy Technology
157,Internet TV,,,,,,,,,,,,,,,0.275,0.27,0.34,0.44,,,,,,,,,,,,,,,,,,,,,,2T5,5T10,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,Internet TV,Internet TV,Internet TV,Internet TV,,,,,,,,Platforms
158,Video Search,,,,,,,,,,,,,,,0.11,0.18,,,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,,,Video Search,Video Search,,,,,,,,,,Human-Computer Interface
159,3D Flat Panel Displays,,,,,,,,,,,,,,,0.038,0.32,,,,,,,,,,,,,,,,,,,,,,,,5T10,2T5,,,,,,,,,,,,,,,,,,,,,,,,3D Flat Panel Displays,3D Flat Panel TV & Displays,,,,,,,,,,Display Technology
160,Human Augmentation,,,,,,,,,,,,,,,0.028,0.045,0.065,0.06,0.13,0.115,0.155,0.155,0.14,0.145,,,,,,,,,,,,,,,,GT10,GT10,GT10,GT10,GT10,GT10,GT10,GT10,GT10,GT10,,,,,,,,,,,,,,,,Human Augmentation,Human Augmentation,Human Augmentation,Human Augmentation,Human Augmentation,Human Augmentation,Human Augmentation,Human Augmentation,Human Augmentation,Human Augmentation,,Human-Computer Interface
161,Predictive Analytics,,,,,,,,,,,,,,,,0.84,0.86,0.94,0.95,,,,,,,,,,,,,,,,,,,,,,LT2,LT2,LT2,LT2,,,,,,,,,,,,,,,,,,,,,,Predictive Analytics,Predictive Analytics,Predictive Analytics,Predictive Analytics,,,,,,,Analytics
162,Mobile App Stores,,,,,,,,,,,,,,,,0.7,0.76,,,,,,,,,,,,,,,,,,,,,,,,LT2,LT2,,,,,,,,,,,,,,,,,,,,,,,,Mobile App Stores,Mobile App Stores,,,,,,,,,Financial Technology
163,Consumer Generated Media,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Generated Media,,,,,,,,,,Communications
164,Broadband over Power Lines,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,OBS,,,,,,,,,,,,,,,,,,,,,,,,,Broadband over Power Lines,,,,,,,,,,Networking Technology
165,Activity streams,,,,,,,,,,,,,,,,0.345,0.3325,0.42,0.705,0.725,,,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,,Activity Streams,Activity Streams,Activity Streams,Activity Streams,Activity streams,,,,,,Web Technology
166,Media Tablets,,,,,,,,,,,,,,,,0.305,0.395,0.71,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,LT2,,,,,,,,,,,,,,,,,,,,,,,Media Tablets,Media Tablets,Media Tablets,,,,,,,,Mobile Technology
167,Private Cloud Computing,,,,,,,,,,,,,,,,0.28,0.355,0.37,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,Private Cloud Computing,Private Cloud Computing,Private Cloud Computing,,,,,,,,Computer Architecture
168,Social Analytics,,,,,,,,,,,,,,,,0.225,0.315,0.36,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,Social Analytics,Social Analytics,Social Analytics,,,,,,,,Analytics
